area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39,3,3389.84051978736
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,36.0,2,5142.857142857143
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0,3,7250.580046403712
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254.0,3.0,2.0,38.0,3,3030.3030303030305
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0,1,6333.333333333333
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2,6897.665960292769
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0,2,3402.061855670103
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459.0,2.0,1.0,94.82,2,6498.971898560658
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270.0,2.0,1.0,50.0,2,3937.0078740157483
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670.0,3.0,1.0,99.0,3,5928.143712574851
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0,3,4527.363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0,2,6329.113924050633
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0,3,4687.5
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,44.0,2,3666.6666666666665
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0,2,12333.333333333334
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0,2,6508.87573964497
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700.0,5.0,3.0,650.0,4,11403.508771929824
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0,2,3793.103448275862
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140.0,2.0,3.0,43.0,2,3771.9298245614036
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358.0,2.0,1.0,80.58,2,5933.726067746687
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0,3,6437.221159974506
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240.0,2.0,1.0,70.0,2,5645.1612903225805
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0,3,6701.771182383915
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511.0,3.0,3.0,205.0,3,8164.078056551175
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660.0,2.0,2.0,105.0,3,6325.301204819277
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326.0,2.0,2.0,78.0,2,5882.35294117647
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499.0,5.0,2.0,102.0,3,6804.536357571715
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708.0,2.0,2.0,37.0,2,5225.988700564972
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06,2,5477.358490566037
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000.0,2.0,2.0,70.0,2,7000.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296.0,2.0,3.0,80.0,2,6172.83950617284
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894.0,4.0,1.0,245.0,4,8465.791292328957
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502.0,3.0,3.0,138.0,3,5515.587529976019
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0,2,2615.3846153846152
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0,3,6250.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0,2,4270.109235352532
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0,2,4166.666666666667
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,229.0,3,13963.414634146342
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260.0,2.0,2.0,66.78,2,5300.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0,3,5307.855626326964
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91,2,4651.433691756272
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530.0,2.0,1.0,45.9,3,3000.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497.0,3.0,2.0,140.0,3,5606.728073688426
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0,3,4155.8441558441555
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0,3,8409.250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0,3,9704.02717127608
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,5611.5,4.0,0.0,477.0,4,8500.400962309543
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282.0,2.0,2.0,68.52,3,5344.773790951638
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600.0,3.0,2.0,65.0,3,4062.5
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0,2,5200.0
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0,3,5882.35294117647
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0,3,4687.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880.0,1.0,1.0,16.5,2,1875.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0,3,5407.166123778502
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0,2,6000.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360.0,2.0,1.0,65.0,2,4779.411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1073.5,2.0,0.0,54.005,2,5030.740568234746
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260.0,2.0,2.0,85.05,3,6750.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050.0,5.0,1.0,213.0,5,6983.606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3,6717.635392341896
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167.0,2.0,1.0,43.76,2,3749.7857754927163
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0,2,3932.5842696629215
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74,3,2899.5037220843674
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710.0,4.0,2.0,91.31,3,5339.766081871345
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0,2,6060.606060606061
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0,2,4444.444444444444
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6,2,3000.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735.0,3.0,3.0,135.0,3,7780.979827089337
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0,3,7073.170731707317
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,32.0,2,3010.348071495767
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0,3,7878.151260504202
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0,3,8750.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1242.5,2.0,0.0,43.49,2,3500.201207243461
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0,3,5263.1578947368425
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,64.5,3,4300.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,60.0,2,5660.377358490566
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0,3,4761.9047619047615
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450.0,1.0,1.0,11.0,1,2444.4444444444443
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152.0,2.0,1.0,64.5,2,5598.958333333333
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350.0,2.0,1.0,56.0,3,4148.148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0,3,4193.548387096775
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0,1,9503.54609929078
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0,2,4675.324675324675
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242.0,2.0,3.0,51.0,2,4106.280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0,3,9117.64705882353
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144.0,3.0,2.0,145.0,3,6763.059701492537
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704.0,3.0,2.0,110.0,3,6455.399061032864
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,52.0,2,4859.813084112149
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0,2,4487.804878048781
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1277.5,2.0,0.0,56.8,2,4446.183953033268
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0,2,4333.333333333333
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0,3,5161.290322580645
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200.0,2.0,2.0,60.0,2,5000.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0,2,7385.079125847777
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0,3,4000.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225.0,2.0,2.0,47.6,2,3885.714285714286
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0,3,4285.714285714285
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282.0,2.0,2.0,48.7,3,3798.751950078003
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0,3,4609.743321110529
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0,2,6401.766004415011
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0,3,4075.2351097178685
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29,3,5307.796610169492
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0,3,6329.113924050633
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0,2,5019.305019305019
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,27.0,1,4584.040747028863
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,98.29,3,5500.279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,125.0,3,6994.963626189144
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0,3,6101.6949152542375
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,44.28,2,4500.0
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405.0,4.0,2.0,260.0,3,10810.81081081081
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0,2,6666.666666666667
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4,2,4891.587163920208
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0,2,5226.480836236934
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0,2,4954.954954954955
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100.0,2.0,2.0,42.0,2,3818.181818181818
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0,2,8527.131782945737
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933.0,3.0,1.0,129.0,3,6673.564407656492
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1,2550.3875968992247
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1,2550.3875968992247
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0,3,5109.489051094891
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285.0,2.0,3.0,72.5,2,5642.023346303502
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910.0,2.0,1.0,40.0,2,4395.604395604396
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0,3,4438.807863031072
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050.0,3.0,2.0,280.0,3,6913.580246913581
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420.0,3.0,2.0,185.0,3,7644.628099173554
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800.0,1.0,1.0,20.0,2,2500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0,2,7322.834645669292
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,63.0,2,5685.9205776173285
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045.0,3.0,2.0,170.0,3,5582.922824302134
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900.0,3.0,2.0,300.0,4,10344.827586206897
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500.0,3.0,2.0,75.5,3,5033.333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,2.0,43.9,2,3389.96138996139
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,59.9,2,5154.9053356282275
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035.0,2.0,2.0,49.2,2,4753.623188405797
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600.0,4.0,0.0,52.8,4,3300.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866.0,2.0,2.0,61.58,3,3300.10718113612
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700.0,1.0,1.0,26.0,2,3714.285714285714
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804.0,3.0,2.0,120.0,3,6651.884700665189
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868.0,3.0,2.0,131.0,3,7012.847965738758
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026.0,3.0,2.0,132.0,3,6515.301085883514
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210.0,2.0,1.0,80.9,2,6685.950413223141
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111.0,4.0,2.0,250.0,4,6081.24543906592
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,91.45,3,5190.124858115778
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,55.0,3,4392.97124600639
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861.0,2.0,1.0,34.5,2,4006.968641114983
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420.0,2.0,1.0,100.0,3,7042.2535211267605
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,78.8,3,5288.5906040268455
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425.0,2.0,2.0,94.0,3,6596.491228070176
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200.0,2.0,1.0,40.0,2,3333.3333333333335
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084.0,2.0,2.0,50.0,2,4612.546125461255
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015.0,2.0,2.0,25.88,2,2549.753694581281
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017.0,2.0,1.0,51.25,2,5039.331366764995
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069.0,2.0,2.0,45.0,2,4209.541627689429
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.2,2,7279.466271312083
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005.0,2.0,1.0,50.0,2,4975.124378109453
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417.0,2.0,3.0,75.0,2,5292.87226534933
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950.0,2.0,2.0,47.0,2,4947.368421052632
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0,4,6000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863.0,3.0,2.0,104.0,4,5582.393988191089
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,29.5,2,2920.792079207921
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425.0,2.0,1.0,70.0,3,4912.2807017543855
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450.0,3.0,0.0,100.0,3,6896.551724137931
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,105.0,3,5684.89442338928
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100.0,2.0,3.0,45.0,2,4090.909090909091
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.0,1,4952.380952380952
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,95.0,3,5705.705705705705
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664.0,4.0,3.0,65.0,4,3906.25
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850.0,3.0,3.0,150.0,3,8108.108108108108
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438.0,2.0,3.0,100.0,2,6954.102920723227
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560.0,3.0,3.0,115.0,3,7371.794871794872
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,67.0,3,4322.580645161291
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280.0,2.0,2.0,75.0,2,5859.375
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,51.0,2,4582.210242587601
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385.0,2.0,1.0,83.09,2,5999.27797833935
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.0,2,5762.41134751773
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,415.0,3,17364.016736401674
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464.0,3.0,2.0,56.0,3,3825.136612021858
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200.0,2.0,2.0,52.0,2,4333.333333333333
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,55.0,3,4782.608695652174
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645.0,3.0,2.0,95.0,3,5775.075987841945
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192.0,2.0,2.0,74.0,2,6208.053691275168
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135.0,3.0,2.0,215.0,3,10070.257611241217
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173.0,2.0,1.0,58.0,2,4944.58653026428
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020.0,2.0,2.0,45.0,2,4411.764705882353
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,230.0,4,7367.072389493914
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250.0,2.0,2.0,40.0,2,3200.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325.0,2.0,2.0,76.0,2,5735.8490566037735
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0,3,8108.108108108108
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260.0,3.0,1.0,49.36,3,3917.4603174603176
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800.0,3.0,0.0,150.0,3,8333.333333333334
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11.0,3.0,2.0,74.0,3,672727.2727272727
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,43.25,2,3931.818181818182
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508.0,2.0,1.0,77.0,2,5106.100795755968
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592.0,3.0,2.0,75.0,3,4711.05527638191
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388.0,2.0,3.0,57.0,2,4106.628242074928
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630.0,1.0,1.0,28.35,1,4500.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252.0,5.0,3.0,335.0,4,10301.353013530135
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116.0,2.0,1.0,50.0,2,4480.286738351255
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,2.0,89.04,2,6807.339449541284
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075.0,2.0,1.0,52.0,2,4837.209302325581
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530.0,1.0,0.0,11.66,1,2200.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075.0,2.0,2.0,60.0,2,5581.395348837209
